timestamp,machine_id,line_id,machine_state,units_produced,units_rejected,temperature_c,vibration_mm_s,power_kw,operator_shift
2026-03-01T00:00:00,M-01,A,RUN,19,2,22.5,0.51,23.0,C
2026-03-01T00:01:00,M-01,A,RUN,7,0,25.3,0.96,17.5,C
2026-03-01T00:02:00,M-01,A,RUN,17,0,27.6,0.78,21.3,C
2026-03-01T00:03:00,M-01,A,RUN,12,2,29.5,0.68,20.9,C
2026-03-01T00:04:00,M-01,A,RUN,11,0,31.9,0.47,19.1,C
2026-03-01T00:05:00,M-01,A,RUN,13,0,32.1,0.87,20.7,C
2026-03-01T00:06:00,M-01,A,DOWN,0,0,31.6,0.28,0.4,C
2026-03-01T00:07:00,M-01,A,DOWN,0,0,31.2,0.21,0.3,C
2026-03-01T00:08:00,M-01,A,DOWN,0,0,30.3,0.21,0.3,C
2026-03-01T00:09:00,M-01,A,DOWN,0,0,29.3,0.27,0.4,C
2026-03-01T00:10:00,M-01,A,DOWN,0,0,29.3,0.27,0.3,C
2026-03-01T00:11:00,M-1,A,DOWN,0,0,29.5,0.22,0.2,C
2026-03-01T00:12:00,M-01,A,DOWN,0,0,28.7,0.23,0.4,C
2026-03-01T00:13:00,M-01,A,DOWN,0,0,27.6,0.2,0.3,C
2026-03-01T00:14:00,M-01,A,DOWN,0,0,27.2,0.23,0.3,C
2026-03-01T00:15:00,M-01,A,DOWN,0,0,26.4,0.29,0.5,C
2026-03-01T00:16:00,M-01,A,RUN,11,0,28.2,0.99,22.1,C
2026-03-01T00:17:00,M-01,A,RUN,14,0,29.3,0.81,20.5,C
2026-03-01T00:18:00,M-01,A,RUN,13,0,30.5,0.96,20.2,C
2026-03-01T00:19:00,M-01,A,RUN,13,0,33.1,0.97,21.1,C
2026-03-01T00:20:00,M-01,A,RUN,16,0,34.3,0.92,21.6,C
2026-03-01T00:21:00,M-01,A,RUN,12,0,35.6,1.01,19.0,C
2026-03-01T00:22:00,M-01,A,RUN,18,0,37.9,0.95,22.7,C
2026-03-01T00:23:00,M-01,A,RUN,10,1,39.0,0.85,21.0,C
2026-03-01T00:24:00,M-01,A,RUN,16,4,40.3,0.94,21.2,C
2026-03-01T00:25:00,M-01,A,RUN,10,0,40.9,0.98,19.8,C
2026-03-01T00:26:00,M-01,A,RUN,9,0,43.0,1.0,18.4,C
2026-03-01T00:27:00,M-01,A,RUN,16,1,43.2,0.8,22.5,C
2026-03-01T00:28:00,M-01,A,RUN,10,1,43.6,0.77,18.9,C
2026-03-01T00:29:00,M-01,A,RUN,15,0,44.0,0.71,21.1,C
2026-03-01T00:30:00,M-01,A,RUN,11,0,44.6,0.94,20.4,C
2026-03-01T00:31:00,M-01,A,RUN,12,0,46.0,0.98,20.8,C
2026-03-01T00:32:00,M-01,A,RUN,15,0,47.0,0.82,22.2,C
2026-03-01T00:33:00,M-01,A,RUN,5,0,47.3,0.77,18.0,C
2026-03-01T00:34:00,M-01,A,RUN,15,0,47.6,1.12,21.7,C
2026-03-01T00:35:00,M-01,A,RUN,13,1,48.4,0.95,21.2,C
2026-03-01T00:36:00, M-01,A,RUN,13,0,48.6,0.98,20.3,C
2026-03-01T00:37:00,M-01,A,RUN,10,1,49.5,1.1,20.4,C
2026-03-01T00:38:00,M-01,A,RUN,19,1,49.9,1.1,21.9,C
2026-03-01T00:39:00,M-01,A,RUN,10,0,51.6,1.13,18.6,C
2026-03-01T00:40:00,M-01,A,RUN,13,0,52.2,0.77,20.3,C
2026-03-01T00:41:00,M-01,A,RUN,16,0,52.9,0.64,21.3,C
2026-03-01T00:42:00,M-01,A,RUN,16,1,52.3,0.78,21.1,C
2026-03-01T00:43:00,M-01,A,RUN,7,0,53.3,1.15,18.6,C
2026-03-01T00:44:00,M-01,A,RUN,17,1,54.3,0.81,21.1,C
2026-03-01T00:45:00,M-01,A,RUN,11,0,54.5,1.3,20.1,C
2026-03-01T00:46:00,M-01,A,RUN,8,0,55.2,1.07,18.6,C
2026-03-01T00:47:00,M-01,A,RUN,15,1,55.1,1.02,20.9,C
2026-03-01T00:48:00,M-01,A,RUN,15,1,55.4,1.0,20.6,C
2026-03-01T00:49:00,M-01,A,RUN,16,0,55.6,0.98,21.0,C
2026-03-01T00:50:00,M-01,A,RUN,14,1,55.9,0.77,21.2,C
2026-03-01T00:51:00,M-01,A,RUN,14,0,55.6,1.16,20.8,C
2026-03-01T00:52:00,M-01,A,RUN,14,0,55.5,0.84,21.4,C
2026-03-01T00:53:00,M-01,A,DOWN,0,0,53.8,0.28,0.4,C
2026-03-01T00:54:00,M-01,A,DOWN,0,0,51.8,0.27,0.5,C
2026-03-01T00:55:00,M-01,A,DOWN,0,0,50.7,0.23,0.3,C
2026-03-01T00:56:00,M-01,A,DOWN,0,0,49.3,0.2,0.3,C
2026-03-01T00:57:00,M-01,A,DOWN,0,0,47.1,0.34,0.4,C
2026-03-01T00:58:00,M-01,A,DOWN,0,0,46.0,0.32,0.5,C
2026-03-01T00:59:00,M-01,A,DOWN,0,0,44.5,0.2,0.3,C
2026-03-01T01:00:00,M-01,A,DOWN,0,0,41.4,0.21,0.5,C
2026-03-01T01:01:00,M-01,A,DOWN,0,0,40.5,0.3,0.6,C
2026-03-01T01:02:00,M-01,A,DOWN,0,0,38.6,0.29,0.4,C
2026-03-01T01:03:00,M-01,A,DOWN,0,0,37.2,0.27,0.5,C
2026-03-01T01:04:00,M-01,A,DOWN,0,0,36.8,0.27,0.4,C
2026-03-01T01:05:00,M-01,A,DOWN,0,0,36.5,0.24,0.4,C
2026-03-01T01:06:00,M-01,A,DOWN,0,0,36.5,0.25,0.5,C
2026-03-01T01:07:00,M-01,A,DOWN,0,0,35.3,0.25,0.5,C
2026-03-01T01:08:00,M-01,A,DOWN,0,0,34.5,0.28,0.3,C
2026-03-01T01:09:00,M-01,A,DOWN,0,0,32.9,0.32,0.4,C
2026-03-01T01:10:00,M-01,A,DOWN,0,0,31.0,0.22,0.5,C
2026-03-01T01:11:00,M-01,A,DOWN,0,0,30.1,0.23,0.5,C
2026-03-01T01:12:00,M-01,A,DOWN,0,0,31.0,0.27,0.4,C
2026-03-01T01:13:00,M-01,A,DOWN,0,0,30.0,0.21,0.7,C
2026-03-01T01:14:00,M-01,A,DOWN,0,0,29.3,0.26,0.3,C
2026-03-01T01:15:00,M-01,A,DOWN,0,0,28.6,0.22,0.3,C
2026-03-01T01:16:00,M-01,A,DOWN,0,0,27.9,0.28,0.4,C
2026-03-01T01:17:00,M-01,A,DOWN,0,0,27.1,0.26,0.3,C
2026-03-01T01:18:00,M-01,A,DOWN,0,0,26.8,0.25,0.4,C
2026-03-01T01:19:00,M-01,A,DOWN,0,0,27.1,0.31,0.5,C
2026-03-01T01:20:00,M-01,A,DOWN,0,0,27.0,0.22,0.3,C
2026-03-01T01:21:00,M-01,A,DOWN,0,0,26.6,0.25,0.5,C
2026-03-01T01:22:00,M-01,A,DOWN,0,0,25.1,0.27,0.4,C
2026-03-01T01:23:00,M-01,A,DOWN,0,0,25.8,0.29,0.3,C
2026-03-01T01:24:00,M-01,A,DOWN,0,0,26.2,0.25,0.4,C
2026-03-01T01:25:00,M-01,A,DOWN,0,0,25.7,0.2,0.2,C
2026-03-01T01:26:00,M-01,A,DOWN,0,0,25.0,0.23,0.4,C
2026-03-01T01:27:00,M-01,A,DOWN,0,0,24.3,0.25,0.3,C
2026-03-01T01:28:00,M-01,A,DOWN,0,0,24.7,0.3,0.3,C
2026-03-01T01:29:00,M-01,A,DOWN,0,0,24.8,0.27,0.4,C
2026-03-01T01:30:00,M-01,A,DOWN,0,0,25.0,0.24,0.5,C
2026-03-01T01:31:00,M-01,A,DOWN,0,0,24.3,0.29,0.4,C
2026-03-01T01:32:00,M-01,A,RUN,10,0,26.5,1.13,18.9,C
2026-03-01T01:33:00,M-01,A,RUN,14,0,28.7,1.23,20.4,C
2026-03-01T01:34:00,M-01,A,RUN,12,1,30.8,0.83,20.3,C
2026-03-01T01:35:00,M-01,A,RUN,15,0,32.2,0.87,21.1,C
2026-03-01T01:36:00,M-01,A,RUN,19,0,,0.87,23.1,C
2026-03-01T01:37:00,M-01,A,RUN,15,0,35.7,1.06,21.1,C
2026-03-01T01:38:00,M-01,A,RUN,14,1,37.4,1.11,21.0,C
2026-03-01T01:39:00,M-01,A,RUN,12,1,38.5,1.19,20.5,C
2026-03-01T01:40:00,M-01,A,RUN,8,0,39.8,1.23,19.5,C
2026-03-01T01:41:00,M-01,A,RUN,15,0,40.7,0.82,21.0,C
2026-03-01T01:42:00,M-01,A,RUN,19,0,42.2,0.79,22.0,C
2026-03-01T01:43:00,M-01,A,RUN,14,0,42.3,1.04,21.6,C
2026-03-01T01:44:00,M-01,A,RUN,8,0,43.1,1.28,18.8,C
2026-03-01T01:45:00,M-01,A,RUN,12,1,43.8,1.02,20.8,C
2026-03-01T01:46:00,M-01,A,RUN,11,0,44.8,0.94,19.4,C
2026-03-01T01:47:00,M-01,A,RUN,17,0,46.2,1.0,21.8,C
2026-03-01T01:48:00,M-01,A,RUN,12,0,46.0,1.17,20.4,C
2026-03-01T01:49:00,M-01,A,RUN,8,0,46.7,1.05,17.1,C
2026-03-01T01:50:00,M-01,A,RUN,11,0,48.2,0.88,20.0,C
2026-03-01T01:51:00,M-01,A,RUN,11,0,49.0,1.16,21.2,C
2026-03-01T01:52:00,M-01,A,RUN,10,0,50.5,0.87,21.0,C
2026-03-01T01:53:00,M-01,A,RUN,8,0,51.3,1.37,19.8,C
2026-03-01T01:54:00,M-01,A,RUN,13,0,51.4,1.22,19.8,C
2026-03-01T01:55:00,M-01,A,RUN,17,0,51.9,1.36,22.4,C
2026-03-01T01:56:00,M-01,A,RUN,14,0,52.9,1.58,20.6,C
2026-03-01T01:57:00,M-01,A,RUN,10,1,53.4,1.25,20.1,C
2026-03-01T01:58:00,M-01,A,RUN,10,0,53.9,1.02,20.4,C
2026-03-01T01:59:00,M-01,A,DOWN,0,0,52.4,0.3,0.4,C
2026-03-01T02:00:00,M-01,A,DOWN,0,0,50.8,0.31,0.3,C
